Base Document,Target Document,Field(s),Base Value,Target Value,Issue
LC,BOL,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and BOL.
LC,BOL,Shipped on Board Date,Not later than 25-Sep-2025,26-Sep-2025,Shipped on board date exceeds the latest shipment date in LC.
LC,INV,Goods Description,100% cotton,97% cotton / 3% elastane,Goods description does not match LC requirement.
LC,INV,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and Invoice.
LC,INS,Coverage Clauses,Institute Cargo Clauses (C),Institute Cargo Clauses (A),Coverage clauses do not match LC requirement.
LC,INS,Claims Payable Location,Vietnam,"Dubai, United Arab Emirates",Claims payable location does not match LC requirement.
LC,PL,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy between LC and Packing List.
LC,PL,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy between LC and Packing List.
LC,PL,Cartons per Pallet,50 pieces per carton,Pallet 7 has 49 cartons,Carton count per pallet does not match LC requirement.
LC,QC,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision mismatch.
