Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
Bill of Lading,Bill of Lading,Port of Discharge,Shanghai Port,Shanghai Port,Match,Low
Bill of Lading,Bill of Lading,Port of Loading,Any Chinese Port,Shanghai Port,Match,Low
Bill of Lading,Bill of Lading,Description of Goods,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Match,Low
Bill of Lading,Bill of Lading,Freight,CIF,Prepaid,Freight term mismatch,High
Commercial Invoice,Commercial Invoice,Description of Goods,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Match,Low
Commercial Invoice,Commercial Invoice,Total Amount,"USD 50,000","USD 50,000",Match,Low
Commercial Invoice,Commercial Invoice,Incoterm,CIF Shanghai Port,CIF Shanghai Port,Match,Low
Insurance Certificate,Insurance Certificate,Amount Insured,"110% of invoice value (USD 55,000)","USD 55,000",Match,Low
Insurance Certificate,Insurance Certificate,Voyage,Any Chinese Port to Shanghai Port,Shanghai Port to New York Port,Voyage mismatch,High
Certificate of Quality,Certificate of Quality,Description of Goods,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Match,Low
